Answer Id|Question Id|Exam Answer|Is Correct
A2-20110722Q1|Q1-20110722|Camocamo|FALSE
A3-20110722Q1|Q1-20110722|Melons|TRUE
A4-20110722Q1|Q1-20110722|Potatoes|FALSE
A1-20110722Q2|Q2-20110722|There is a nautical dawn|FALSE
A2-20110722Q2|Q2-20110722|Nautical dawn is brightest|TRUE
A3-20110722Q2|Q2-20110722|There is a civil dawn|FALSE
A4-20110722Q2|Q2-20110722|All statements are correct|FALSE
A1-20111014Q1|Q1-20111014|An idiom|FALSE
A2-20111014Q1|Q1-20111014|A metaphor|FALSE
A3-20111014Q1|Q1-20111014|Irony|FALSE
A4-20111014Q1|Q1-20111014|Hyperbole|TRUE
A1-20111014Q2|Q2-20111014|The growth speeds up|TRUE
A2-20111014Q2|Q2-20111014|The growth slows down|FALSE
A3-20111014Q2|Q2-20111014|The plant mutates|FALSE
A4-20111014Q2|Q2-20111014|The plant withers|FALSE
A1-20111015Q1|Q1-20111015|Vasco da Gama|FALSE
A2-20111015Q1|Q1-20111015|Christopher Columbus|FALSE
A3-20111015Q1|Q1-20111015|Ferdinand Magellan|TRUE
A4-20111015Q1|Q1-20111015|Marco Polo|FALSE
A1-20111015Q2|Q2-20111015|1896|FALSE
A2-20111015Q2|Q2-20111015|1800|FALSE
A3-20111015Q2|Q2-20111015|1900|TRUE
A4-20111015Q2|Q2-20111015|1904|FALSE
A1-20111017Q1|Q1-20111017|Sympathetic system|FALSE
A2-20111017Q1|Q1-20111017|Parasympathetic system|FALSE
A3-20111017Q1|Q1-20111017|All of the above|TRUE
A1-20111017Q2|Q2-20111017|great|FALSE
A2-20111017Q2|Q2-20111017|is|FALSE
A3-20111017Q2|Q2-20111017|teacher|TRUE
A1-20111018Q1|Q1-20111018|0.3 yen|FALSE
A2-20111018Q1|Q1-20111018|One yen|FALSE
A3-20111018Q1|Q1-20111018|Two yen|TRUE
A4-20111018Q1|Q1-20111018|Three yen|FALSE
A1-20111018Q2|Q2-20111018|The Cruel Duke|FALSE
A2-20111018Q2|Q2-20111018|The Sun King|TRUE
A3-20111018Q2|Q2-20111018|The King of Soul|FALSE
A4-20111018Q2|Q2-20111018|The Wig King|FALSE
A1-20111019Q1|Q1-20111019|Ume blossom|FALSE
A2-20111019Q1|Q1-20111019|Frog|FALSE
A3-20111019Q1|Q1-20111019|April|FALSE
A4-20111019Q1|Q1-20111019|Sardine|TRUE
A1-20111019Q2|Q2-20111019|Tissue pigment|FALSE
A2-20111019Q2|Q2-20111019|Blood pigment|FALSE
A3-20111019Q2|Q2-20111019|Shellfish pigment|TRUE
A4-20111019Q2|Q2-20111019|None of the above|FALSE
A1-20111128Q1|Q1-20111128|Aug|FALSE
A2-20111128Q1|Q1-20111128|Sept|FALSE
A3-20111128Q1|Q1-20111128|Oct|TRUE
A4-20111128Q1|Q1-20111128|Nano|FALSE
A1-20111128Q2|Q2-20111128|The back to the shoulders|TRUE
A2-20111128Q2|Q2-20111128|The back to the hips|FALSE
A3-20111128Q2|Q2-20111128|The arms to the neck|FALSE
A4-20111128Q2|Q2-20111128|The arms to the shoulders|FALSE
A1-20111129Q1|Q1-20111129|It reduces sweat|FALSE
A2-20111129Q1|Q1-20111129|It prevents frostbite|FALSE
A3-20111129Q1|Q1-20111129|It excretes toxins|TRUE
A4-20111129Q1|Q1-20111129|None|FALSE
A1-20111129Q2|Q2-20111129|Brazil and Argentina|FALSE
A2-20111129Q2|Q2-20111129|Chile and Argentina|TRUE
A3-20111129Q2|Q2-20111129|Chile and Peru|FALSE
A4-20111129Q2|Q2-20111129|Argentina and Peru|FALSE
A1-20111130Q1|Q1-20111130|Happiness|FALSE
A2-20111130Q1|Q1-20111130|A gamble|TRUE
A3-20111130Q1|Q1-20111130|A promise|FALSE
A4-20111130Q1|Q1-20111130|A graveyard|FALSE
A1-20111130Q2|Q2-20111130|Hamlet|FALSE
A2-20111130Q2|Q2-20111130|Louis XIV|FALSE
A3-20111130Q2|Q2-20111130|Rene Descartes|FALSE
A4-20111130Q2|Q2-20111130|William Shakespeare|TRUE
A1-20111201Q1|Q1-20111201|The north pole; 10 degrees|FALSE
A2-20111201Q1|Q1-20111201|The south pole; 10 degrees|FALSE
A3-20111201Q1|Q1-20111201|The north pole; 30 degrees|FALSE
A4-20111201Q1|Q1-20111201|The south pole; 30 degrees|TRUE
A1-20111201Q2|Q2-20111201|1,000 dollars|FALSE
A2-20111201Q2|Q2-20111201|10,000 dollars|FALSE
A3-20111201Q2|Q2-20111201|1,000,000 dollars|TRUE
A4-20111201Q2|Q2-20111201|1,000,000,000 dollars|FALSE
A1-20111202Q1|Q1-20111202|Discovered yeast|FALSE
A2-20111202Q1|Q1-20111202|Discovered tuberculosis|TRUE
A3-20111202Q1|Q1-20111202|Discovered vaccines|FALSE
A4-20111202Q1|Q1-20111202|Discovered microorganisms|FALSE
A1-20111202Q2|Q2-20111202|English|FALSE
A2-20111202Q2|Q2-20111202|French|TRUE
A3-20111202Q2|Q2-20111202|Finnish|FALSE
A4-20111202Q2|Q2-20111202|Russian|FALSE
