Answer Id|Question Id|Quiz Answer|Is Correct|Influenced Arcana|Arcana Modifier|Courage Modifier|Diligence Modifier|Knowledge Modifier|Understanding Modifier|Expression Modifier
A1-20111104QZ|QZ-20111104|It excretes toxins|TRUE|Magician|3|0|0|0|0|2
A2-20111104QZ|QZ-20111104|It prevents frostbite|FALSE|||0|0|0|0|0
A3-20111104QZ|QZ-20111104|It’s pointless|FALSE|||0|0|0|0|0
A1-20111107QZ|QZ-20111107|The north pole|FALSE|||0|0|0|0|0
A2-20111107QZ|QZ-20111107|The south pole|TRUE|||0|0|2|0|0
A3-20111107QZ|QZ-20111107|They’re the same|FALSE|||0|0|0|0|0
A1-20111111QZ|QZ-20111111|Kech|FALSE|||0|0|0|0|0
A2-20111111QZ|QZ-20111111|Koch|TRUE|||0|0|2|0|0
A3-20111111QZ|QZ-20111111|Gogh|FALSE|||0|0|0|0|0
A1-20111117QZ|QZ-20111117|A promise|FALSE|||0|0|0|0|0
A2-20111117QZ|QZ-20111117|A graveyard|FALSE|||0|0|0|0|0
A3-20111117QZ|QZ-20111117|A gamble|TRUE|Magician|3|0|0|0|0|2
A1-20111122QZ|QZ-20111122|The Patagonian Ice Field|TRUE|||0|0|2|0|0
A2-20111122QZ|QZ-20111122|The Columbian Ice Field|FALSE|||0|0|0|0|0
A3-20111122QZ|QZ-20111122|It doesn’t exist|FALSE|||0|0|0|0|0
A1-20111124QZ|QZ-20111124|Four|FALSE|||0|0|0|0|0
A2-20111124QZ|QZ-20111124|Six|TRUE|||0|0|2|0|0
A3-20111124QZ|QZ-20111124|All of them|FALSE|||0|0|0|0|0
A1-20111125QZ|QZ-20111125|It’s eleven o’clock|FALSE|||0|0|0|0|0
A2-20111125QZ|QZ-20111125|It’s a dilemma|FALSE|||0|0|0|0|0
A3-20111125QZ|QZ-20111125|It’s the last chance|TRUE|||0|0|2|0|0
A1-20111126QZ|QZ-20111126|Xmas|FALSE|||0|0|0|0|0
A2-20111126QZ|QZ-20111126|X’mas|TRUE|||0|0|2|0|0
A3-20111126QZ|QZ-20111126|X-mas|FALSE|||0|0|0|0|0
A1-20111209QZ|QZ-20111209|Humans|FALSE|||0|0|0|0|0
A2-20111209QZ|QZ-20111209|Reptiles|FALSE|||0|0|0|0|0
A3-20111209QZ|QZ-20111209|Insects|TRUE|||0|0|2|0|0
A1-20111210QZ|QZ-20111210|The ‘big’ toe|TRUE|||0|0|2|0|0
A2-20111210QZ|QZ-20111210|The ‘pinky’ toe|FALSE|||0|0|0|0|0
A3-20111210QZ|QZ-20111210|The ‘index’ toe|FALSE|||0|0|0|0|0
A1-20111217QZ|QZ-20111217|That it precedes something|FALSE|||0|0|0|0|0
A2-20111217QZ|QZ-20111217|That it follows something|TRUE|Chariot|3|0|0|0|0|2
A3-20111217QZ|QZ-20111217|That it comes form meat|FALSE|||0|0|0|0|0
